PROGRAMA;A;B;C;D;E;F_;G;H;I;J;K;L;M;N;O;P;Q;R;S;T_;U;V;W;X;Y;Z;AA;AB;AC;AD;AE;AF;AG;AH;AI;AJ;AK;AL;AM;AN;AO;AP;AQ;AR;AS;AT;AU;AV;AW;AX;AY;AZ;BA;BB
Agronomia, Mencion Agricultura Sostenible;7;9;9;9;9;9;9;9;9;9;8;8;9;9;9;9;9;9;9;8;7;7;8;7;8;8;8;8;9;8;7;7;8;9;9;9;9;9;8;8;8;8;9;9;9;8;8;8;9;8;8;9;9;8
Agronomia, Mencion Agricultura Sostenible;4;6;9;9;9;8;9;9;9;9;8;8;9;8;7;8;8;8;8;9;7;6;7;9;8;8;6;7;7;3;7;8;9;8;7;7;9;8;5;9;9;9;6;8;8;8;8;8;7;7;9;9;9;8
Administracion de Empresas;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Pedagogia, Mencion Bachillerato Tecnico;9;9;9;9;9;9;9;9;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;8;9;9;8;7;8;8;8;9;9;7;9;8;8;9;9;9;9;9;9;9;9;9;9;9;9;8;9;9;9;9
Ingenieria Agricola;8;8;8;8;8;8;8;9;9;9;8;8;9;8;8;8;9;9;8;8;8;8;9;8;9;9;8;9;8;9;7;8;9;8;7;7;8;9;9;9;8;9;6;9;8;9;8;8;8;8;8;8;8;8
Bibliotecologia, Mencion Gestion de la Informacion;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Quimica, Mencion Quimica Ambiental;6;5;8;9;9;6;9;9;9;9;9;9;9;9;9;9;5;9;9;9;6;1;1;6;7;8;5;7;7;1;7;9;8;5;7;6;5;1;1;7;5;8;6;7;7;7;7;6;8;6;8;8;8;8
Ingenieria Quimica, Mencion Alimentos;5;5;7;7;7;7;8;9;8;8;7;8;7;8;7;7;7;7;7;7;8;5;6;9;8;7;2;7;5;1;5;7;9;1;7;5;5;5;1;4;8;8;4;7;6;5;5;7;8;2;7;7;7;7
Ingenieria Agricola;7;7;8;8;8;8;8;8;7;8;8;8;8;8;8;8;8;8;8;8;8;8;8;7;9;8;8;8;7;7;7;8;8;8;8;8;8;8;8;8;6;7;5;8;8;7;8;7;8;7;8;8;8;9
HidrAulica, Mencion Gestion de Recursos Hidricos;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Desarrollo Local;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Ingenieria Quimica, Mencion Alimentos;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Quimica, Mencion Quimica Ambiental;4;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;1;9;9;9;9;9;9;9;9;3;9;9;9;9;9;9;4;9;9;9;9
Ingenieria Agricola;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Ingenieria Agricola;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Ingenieria Agricola;7;8;5;7;8;8;8;8;9;8;8;7;9;9;8;9;9;8;8;9;7;7;7;7;8;9;9;8;9;9;8;8;9;8;8;8;8;8;7;9;7;7;7;8;8;8;8;9;8;9;9;9;9;9
Desarrollo Local;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;9;9;9;9;8;9;9;9;9;9;9
MatemAtica;5;9;9;9;9;9;8;9;9;9;6;9;9;9;9;9;9;8;7;9;5;8;6;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;6;9;9;9;9;9;9;9;9;9;9;9
Optometria, Mencion Contactologia y Terapia Visual;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Quimica, Mencion Quimica Ambiental;9;9;9;9;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;8;9;9;9;9;9;9;9;9;9;9;8;8;1;9;9;9;9;6;9;9;9;9;9;9;9;9;9;9;8;9;9;9;8
Ingenieria Quimica, Mencion Alimentos;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;8;8;9;9;9;9;8;9;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Ingenieria Quimica, Mencion Ambiente;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Ingenieria Agricola;5;5;5;5;8;8;1;9;9;9;5;1;5;4;5;5;5;5;1;5;5;5;7;8;8;7;8;8;8;8;8;9;9;5;5;5;5;5;5;6;6;5;6;5;5;5;5;5;5;5;5;5;6;4
Optometria, Mencion Contactologia y Terapia Visual;7;8;5;7;8;7;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;7;8;7;8;8;7;8;7;4;8;6;5;6;7;7;7;8;7;8;8;7;5;7;7;7;7;7;6;7;8;6;8;8
Quimica, Mencion Quimica Ambiental;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;5;9;9;9;9;9;9;9;9;9;9;9
Quimica, Mencion Quimica Ambiental;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Quimica, Mencion Quimica Ambiental;7;7;9;9;9;8;9;9;8;9;8;8;9;8;8;8;9;9;9;9;9;9;9;1;9;9;9;9;9;9;1;9;9;1;7;8;1;9;8;8;7;7;1;9;9;7;9;9;9;9;9;8;9;8
Ingenieria Agricola;4;9;9;7;9;7;8;9;9;9;7;3;9;3;5;5;5;4;4;6;5;5;5;5;6;7;2;4;4;1;5;9;9;1;8;7;3;4;2;8;7;9;2;5;5;9;7;8;5;7;9;9;6;6
Quimica, Mencion Quimica Ambiental;8;9;9;9;9;6;7;8;9;9;9;9;9;5;8;9;7;9;8;8;5;6;7;5;9;8;7;8;8;8;8;7;8;2;4;3;3;3;5;7;9;5;2;7;7;7;8;7;3;7;7;7;9;9
Ingenieria Quimica, Mencion Ambiente;8;8;8;7;8;8;9;9;8;8;8;8;9;8;8;8;9;8;8;9;9;9;9;9;9;9;9;8;8;8;7;9;9;9;9;9;8;9;8;8;8;8;8;8;8;8;8;7;8;7;8;8;9;7
Ingenieria Agricola;9;9;9;8;9;8;9;9;9;9;8;8;9;8;8;9;8;9;8;9;8;8;9;7;8;8;8;8;8;9;8;8;9;8;9;8;8;8;2;8;8;9;8;8;8;8;8;8;8;8;9;8;8;8
Agronomia, Mencion Produccion Agricola Sostenible;7;5;7;7;9;9;9;9;9;8;9;8;8;6;6;6;6;7;7;9;8;7;7;9;9;7;7;3;4;5;4;7;7;5;5;5;5;6;5;9;7;8;7;8;6;1;4;6;6;6;8;7;8;8
Ingenieria Quimica, Mencion Alimentos;8;7;9;9;9;9;9;9;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Bibliotecologia, Mencion Gestion de la Informacion;8;8;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;8;8;9;9;9;9;9;9;9;9;9;8;9;9;8;9;8;9;9;9;9;9;9;8;9;7;9;8;8;9;9;9
Zootecnia, Mencion Produccion Ganadera Sostenible;9;9;9;9;9;9;8;8;5;7;4;8;9;8;8;8;8;8;8;8;7;3;5;5;5;5;5;2;8;2;2;7;8;1;5;5;5;7;8;5;8;8;9;8;5;9;9;9;5;5;9;8;8;8
Ingenieria Agricola;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;9;9;9;9;9
Ingenieria Quimica, Mencion Ambiente;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;9;9;9;9;8;9;9;8;9;9;9;7;9;9;9;9;9;9;9;9;7;9;9;9;9;9;9;9;9;9;9;9
Ingenieria Agricola;9;9;9;9;9;9;9;9;9;9;8;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Quimica, Mencion Quimica Ambiental;8;8;8;8;8;8;8;9;9;8;7;7;9;8;8;8;8;8;7;8;8;8;7;8;8;8;8;8;8;8;7;8;8;8;7;7;8;8;5;8;8;7;7;7;7;7;8;7;8;8;8;8;8;8
Bibliotecologia, Mencion Gestion de la Informacion;9;7;7;7;8;8;8;9;6;8;8;8;8;8;8;8;8;8;8;8;8;8;8;7;8;8;8;8;8;9;8;8;8;5;7;8;8;8;5;8;5;5;7;8;7;7;7;5;8;7;8;8;8;8
Agronomia, Mencion Mecanizacion Agricola;8;9;9;9;9;9;8;9;9;9;9;8;9;9;9;9;9;9;9;9;8;9;9;9;9;9;9;9;9;9;8;9;9;5;9;9;9;9;5;9;8;5;9;9;9;7;9;9;9;9;8;8;9;9
Quimica, Mencion Quimica Ambiental;7;7;6;5;5;6;5;5;6;6;5;6;5;6;7;7;7;7;7;7;6;6;8;8;6;7;7;7;7;7;7;7;7;8;8;8;8;8;7;7;7;8;8;7;8;8;7;7;7;7;8;8;7;7
MatemAtica;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;6;7;6;6;8;9;5;9;9;8;8;6;9;9;9;9;9;9;8;8;9;9;9;9;9;9;8
Quimica, Mencion Quimica Ambiental;7;8;9;8;9;9;7;9;9;9;7;8;9;9;9;9;9;9;8;9;8;9;8;7;9;8;7;8;8;8;8;8;9;1;8;8;8;8;8;9;8;9;9;9;8;8;9;9;9;9;9;9;9;9
Ingenieria Agricola;8;9;9;7;9;9;9;9;9;9;9;9;9;8;9;9;9;9;8;9;9;9;9;9;9;9;9;7;9;9;9;9;9;9;9;9;9;9;9;9;9;9;7;9;9;9;9;9;9;9;9;9;9;9
MatemAtica;1;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;5;5;5;5;5;1;1;9;9;5;9;9;9;9;1;5;5;1;1;9;9;9;1;1;1;1;6;9;9;6
Quimica, Mencion Quimica Ambiental;7;9;9;9;9;7;8;9;9;9;8;8;9;9;7;9;8;8;9;9;9;7;6;9;9;9;8;7;7;5;9;9;9;5;9;7;8;7;5;9;8;9;5;9;9;9;8;9;9;8;9;9;9;8
Ingenieria Agricola;9;9;9;9;9;9;9;9;9;9;9;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Ingenieria Agricola;9;9;9;9;9;9;9;9;9;8;9;9;9;9;9;8;9;9;9;9;9;8;9;8;9;9;9;9;9;9;8;9;9;7;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Ingenieria Agricola;7;9;7;9;7;8;9;8;7;7;9;9;9;6;9;9;9;8;9;9;7;5;8;3;8;9;9;9;5;9;7;9;9;5;7;9;7;8;7;9;9;6;5;9;5;7;8;9;9;9;9;8;9;9
Ingenieria Agricola;8;9;9;9;9;9;8;9;9;9;8;8;9;9;9;9;9;9;8;9;9;9;9;9;9;9;9;9;9;9;7;9;9;9;9;9;9;9;9;9;9;9;8;9;9;9;9;9;9;9;9;9;9;9
Administracion de Empresas;7;9;9;9;9;8;9;9;8;8;9;8;8;8;8;8;9;8;8;9;8;8;8;8;8;8;8;8;9;8;9;9;8;9;9;9;9;8;9;9;9;9;9;9;9;8;9;8;9;8;9;9;9;9
Administracion de Empresas;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Quimica, Mencion Quimica Ambiental;8;7;9;9;9;8;9;9;7;9;9;6;9;9;9;9;9;9;9;9;7;7;7;6;9;9;9;9;9;5;9;9;9;6;9;9;9;9;7;7;6;9;9;9;9;9;9;9;9;9;9;9;9;9
Ingenieria Agricola con mencion en Agroecologia y Cambio ClimAtico;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Ingenieria Agricola;8;8;8;9;8;9;8;9;9;8;8;8;9;8;9;9;8;9;9;9;9;9;9;9;9;9;9;8;8;9;9;9;9;9;9;9;9;9;9;9;9;9;8;8;9;9;9;9;9;9;9;9;9;9
Administracion de Empresas;8;8;8;8;9;8;8;9;8;8;8;9;9;9;7;9;9;8;8;9;6;3;1;6;7;8;7;7;9;1;5;6;7;7;7;7;7;9;8;7;7;9;5;8;8;8;7;9;8;8;9;9;9;8
Ingenieria Quimica, Mencion Procesos Quimicos;8;7;8;8;8;9;8;8;8;8;8;6;8;8;8;8;8;8;8;8;8;8;8;9;8;8;8;8;8;8;8;9;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;9;8;8;8
Ingenieria Agricola;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;9;9;8;9;9;9;9;8;9;8;8;8;9;9;9;9;9;9;9;9;9;9;9
Ingenieria Agricola;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;5;5;9;9;9;9;9;5;4;9;9;9;1;5;7;7;8;1;9;9;1;3;9;9;9;9;3;6;6;7;7;9;7
Ingenieria Quimica, Mencion Procesos Quimicos;9;9;9;9;9;9;9;9;9;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;7;8;7;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;9;9;9;9;9;9;9;9
Ingenieria Quimica, Mencion Procesos Quimicos;8;8;9;9;9;9;9;9;9;9;7;8;9;9;9;9;9;9;9;9;9;7;8;7;8;9;8;8;9;9;9;9;9;5;9;9;9;9;9;9;8;9;5;9;9;9;9;9;9;9;9;9;9;8
Ingenieria Quimica, Mencion Procesos Quimicos;7;8;9;9;9;9;9;9;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;8;9;9;9;9;9;8;9;9;8;8;9;9;9;9;6;9;9;9;9;9;9;9;9;9;9;8;9
Ingenieria Quimica, Mencion Procesos Quimicos;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Ingenieria Quimica, Mencion Procesos Quimicos;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Ingenieria Agricola;7;8;8;8;8;8;7;7;8;7;7;8;9;9;9;8;9;8;8;8;7;7;8;8;8;8;8;8;8;7;7;9;7;8;8;8;9;9;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;9
Ingenieria Quimica, Mencion Procesos Quimicos;9;6;8;8;9;8;9;9;9;8;7;8;9;9;9;8;9;9;9;8;7;7;7;7;9;9;8;9;6;7;6;9;9;6;8;9;9;9;8;8;9;9;7;9;8;8;8;7;9;9;9;9;9;9
Ingenieria Agricola;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Administracion de Empresas;8;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;7;8;7;7;8;5;7;8;8;6;8;9;9;9;9;9;8;9;2;8;9;8;9;9;8;9;9;9;9;9
Ingenieria Quimica, Mencion Procesos Quimicos;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Ingenieria Agricola;6;7;8;9;7;7;8;8;7;8;6;8;9;8;8;8;9;8;8;8;8;7;6;6;8;8;8;8;9;8;8;8;9;7;8;7;9;9;8;9;8;8;8;8;8;8;7;9;8;8;8;8;8;9
Ingenieria Agricola;8;9;9;9;9;9;7;8;5;9;8;6;9;8;8;8;9;8;9;8;9;9;9;9;9;9;9;9;9;8;7;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;9;9;9;8;7
Ingenieria Agricola;9;9;9;9;9;9;9;9;8;9;9;9;9;9;8;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Administracion de Empresas;7;7;8;7;7;7;8;8;7;6;7;8;7;8;7;7;7;7;7;7;7;7;6;7;7;7;6;4;7;7;7;7;7;4;7;7;7;7;4;7;4;4;7;7;7;7;7;6;7;6;7;7;7;7
HidrAulica, Mencion Gestion de Recursos Hidricos;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Quimica, Mencion Quimica Ambiental;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;1;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Ingenieria Agricola;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Pedagogia, Mencion Bachillerato Tecnico;9;9;9;9;9;9;8;9;9;9;8;8;9;8;9;9;8;9;9;9;9;9;9;9;9;9;8;8;8;9;8;9;9;8;9;9;6;8;9;9;9;9;6;9;9;9;9;9;8;8;9;8;9;9
Ingenieria Agricola;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Ingenieria Quimica, Mencion Procesos Quimicos;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
MatemAtica;7;6;9;8;7;7;9;9;9;9;9;9;9;9;9;9;8;8;9;8;8;8;9;9;9;9;9;9;9;9;9;9;8;8;9;8;9;9;9;9;8;8;8;9;8;8;8;8;8;8;8;8;8;8
Pedagogia, Mencion Bachillerato Tecnico;9;9;9;9;9;9;8;9;9;8;8;8;9;9;9;9;9;9;9;9;9;8;9;9;9;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;9;9;9;9;9;9;9;9;9;9;9
Agroindustria;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;6;9;9;9;5;9;5;9;9;5;5;9;9;7;9;9;9;9;5;9;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;8;9;9;9;9;8;9;5;7;9;9;9;9;9;9;9;9;9;7;7;9;9;9;9;9;9;9;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;4;9;9;9;9;9;9;9;9;4;9;9;9;9;9;9;9;9;9;7;9;9;1;9;9;9;9;9;1;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;7;8;9;9;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;8;8;9;9;9;7;7;8;9;8;8;8;9;9;8;9;8;8;8;8;8;8;8;9;8;8;8;8;9;8
Ingenieria Agricola;9;9;9;9;9;9;9;9;9;9;9;9;9;8;8;9;9;9;9;9;9;9;9;9;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;8;8;9;9;9;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;6;9;8;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;7;7;7;6;8;9;9;8;7;7;8;9;9;9;9;9;7;8;7;7;8;8;7;7;8;8;9;8
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;9;9;9;9;9;9;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;5;8;9;8;9;9;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Optometria, Mencion Contactologia y Terapia Visual;7;8;8;8;8;8;8;7;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;7;7;7;7;7;7;7;7;8;8;8;8;8;8;7;8;8;7;8;8;7;8;8;7;8;8;8;8;8;7
Ingenieria Civil, Mencion Construccion de Vivienda Social;7;7;8;7;9;8;8;9;8;8;7;7;9;8;8;8;8;8;8;8;9;8;8;9;8;8;8;8;8;7;7;8;8;7;8;8;8;8;5;5;6;6;6;7;7;6;7;4;8;8;8;8;8;7
Ingenieria Civil, Mencion Construccion de Vivienda Social;7;8;9;9;9;8;8;9;9;8;8;7;9;9;8;8;8;9;8;9;9;9;9;9;8;8;8;8;8;1;5;7;8;1;9;9;8;8;7;8;7;7;3;7;8;8;7;8;8;8;9;9;9;8
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;7;8;8;8;9;7;9;9;9;9;9;9;9;9;7;9;9;9;9;9;9;9;9;9;9;9
Agronomia, Mencion Mecanizacion Agricola;8;9;9;9;9;9;8;9;9;9;9;8;9;9;9;9;9;9;9;9;8;9;9;9;9;9;8;8;8;9;7;9;9;9;9;9;9;9;9;9;8;9;9;9;9;9;9;8;9;9;9;9;9;9
Estadistica, Mencion Estadistica Aplicada;8;8;8;8;9;8;8;9;8;8;8;8;8;9;9;8;8;8;8;9;8;8;8;9;9;9;9;8;9;8;8;8;8;8;7;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
Ingenieria Civil, Mencion Construccion de Vivienda Social;8;8;8;9;9;9;8;9;9;9;8;7;9;9;9;9;9;9;8;8;7;8;5;9;8;9;9;9;8;4;9;8;8;5;8;9;7;7;8;9;9;9;8;8;9;7;8;9;8;9;9;9;9;9
Ingenieria Agricola;8;8;9;9;8;8;7;8;8;8;8;7;8;8;7;8;7;8;8;8;8;6;6;8;8;8;8;5;7;8;7;8;9;8;8;7;7;8;3;8;8;8;7;8;7;8;8;8;8;7;8;8;8;8
Desarrollo Local;6;9;9;7;8;8;9;9;9;8;8;8;9;9;9;8;8;8;8;9;9;8;6;6;8;8;8;8;7;5;6;7;8;6;6;8;8;8;9;8;8;7;8;8;8;8;9;9;8;8;8;8;8;8
Ingenieria Civil, Mencion Construccion de Vivienda Social;8;8;9;9;9;9;8;9;8;8;8;9;9;9;9;9;9;9;8;8;9;9;5;9;8;8;5;8;9;1;5;9;9;9;9;8;8;9;9;9;9;9;5;8;8;8;5;9;8;8;8;8;9;9
Optometria, Mencion Contactologia y Terapia Visual;8;6;8;9;9;8;7;9;6;7;8;7;8;7;8;7;7;8;8;8;8;6;6;7;9;9;8;7;6;7;7;9;9;7;5;5;5;7;5;8;8;9;7;9;8;7;7;5;8;8;7;7;9;8
Ingenieria Civil, Mencion Construccion de Vivienda Social;7;8;8;7;8;8;8;9;8;8;7;8;8;8;8;9;9;8;8;8;8;8;8;8;9;9;8;7;7;8;8;8;8;6;8;8;8;8;7;7;9;9;3;8;8;8;8;6;8;8;8;8;8;8
MatemAtica;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
MatemAtica;7;8;9;8;9;9;7;9;5;7;6;7;8;8;8;8;7;8;8;8;7;8;5;8;8;8;7;7;6;1;4;7;8;6;8;8;6;5;8;4;8;8;7;7;7;4;6;3;7;7;7;8;7;7
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;6;9;9;7;8;7;9;5;8;8;7;7;8;7;8;8;8;8;8;9;8;7;1;9;9;1;9;5;5;9;9;9;1;5;9;1;8;6;9;9;9;5;8;8;7;8;6;9;9;8;8;9;8
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;8;9;9;9;7;7;9;9;9;9;9;8;8;8;9;9;8;9;9;8;9;9;8;9;8;9;8;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
